iso_origin;iso_dest;dist_eco;dist_capitale;dist_ponderee_pop
AGO;ESP;5752.252;5752.252;5815.769
AGO;EST;7665.317;7665.317;7745.417
AGO;ETH;3464.567;3464.567;3510.41
AGO;FIN;7746.235;7746.235;7962.544
AGO;FJI;16618.51;16618.51;16508.95
AGO;FLK;7947.249;7947.249;7893.728
AGO;FRA;6510.322;6510.322;6384.804
AGO;FRO;8073.677;8073.677;8196.326
AGO;FSM;16170.59;16170.59;15531.28
AGO;GAB;1110.371;1110.371;1179.842
AGO;GBR;6837.594;6837.594;7092.603
AGO;GEO;6482.799;6482.799;6526.834
AGO;GHA;2192.395;2192.395;2422.776
AGO;GIB;5370.596;5370.596;5496.657
AGO;GIN;3804.649;3804.649;3666.297
AGO;GLP;8708.249;8708.249;8790.341
AGO;GMB;4132.186;4132.186;4221.764
AGO;GNB;3941.227;3941.227;4045.287
AGO;GNQ;1485.016;1485.016;1483.461
AGO;GRC;5325.223;5325.223;5457.884
AGO;GRD;8613.741;8613.741;8698.281
AGO;GRL;9737.886;9737.886;9932.566
AGO;GTM;11735.94;11735.94;11836.52
AGO;GUF;7436.134;7436.134;7570.759
AGO;GUY;8109.865;8109.865;8175.561
AGO;HKG;11504.13;11504.13;11483.77
AGO;HND;11377.58;11377.58;11505.41
AGO;HRV;6086.698;6086.698;6139.053
AGO;HTI;9868.396;9868.396;9973.872
AGO;HUN;6296.004;6296.004;6385.492
AGO;IDN;10294.87;10294.87;10408.96
AGO;IND;8025.968;8025.968;7771.995
AGO;IRL;7160.81;7160.81;7275.03
AGO;IRN;6368.018;6368.018;6361.974
AGO;IRQ;5736.821;5736.821;5831.624
AGO;ISL;8642.954;8642.954;8765.366
AGO;ISR;5096.148;5096.148;5173.667
AGO;ITA;5645.243;5645.243;5850.538
AGO;JAM;10324.34;10324.34;10439.65
AGO;JOR;5140.358;5140.358;5211.9
AGO;JPN;13861.75;13861.75;13676.42
AGO;KAZ;8643.737;8689.369;8603.075
AGO;KEN;2744.311;2744.311;2758.796
AGO;KGZ;8454.77;8454.77;8434.702
AGO;KHM;10393.31;10393.31;10326.07
AGO;KIR;17657.94;17657.94;17603.96
AGO;KNA;8842.232;8842.232;8846.593
AGO;KOR;12705.4;12705.4;12773.39
AGO;KWT;5649.504;5649.504;5693.167
AGO;LAO;10254.81;10254.81;10337.57
AGO;LBN;5301.993;5301.993;5380.279
AGO;LBR;3154.236;3154.236;3228.089
AGO;LBY;4626.358;4626.358;4687.459
AGO;LCA;8580.775;8580.775;8669.954
AGO;LKA;7594.32;7594.32;7604.338
AGO;LSO;2721.224;2721.224;2617.787
AGO;LTU;7158.965;7158.965;7297.73
AGO;LUX;6540.273;6540.273;6656.551
AGO;LVA;7388.835;7388.835;7480.259
AGO;MAC;11443.56;11443.56;.
AGO;MAR;5221.762;5221.762;5301.951
AGO;MDA;6403.256;6403.256;6509.113
AGO;MDG;3857.428;3857.428;3785.104
AGO;MDV;6836.069;6836.069;6772.012
AGO;MEX;12686.0;12686.0;13000.27
AGO;MHL;17596.71;17596.71;17390.41
AGO;MKD;5719.467;5719.467;5796.155
AGO;MLI;3352.429;3352.429;3462.446
AGO;MLT;4980.603;4980.603;5089.842
AGO;MMR;9555.35;9555.35;9564.913
AGO;MNG;11014.06;11014.06;10968.16
AGO;MNP;14824.51;14824.51;14777.87
AGO;MOZ;2794.277;2794.277;2664.913
AGO;MRT;4395.738;4395.738;4436.974
AGO;MSR;8775.924;8775.924;.
AGO;MTQ;8605.604;8605.604;8690.882
AGO;MUS;4915.372;4915.372;4828.119
AGO;MWI;2314.207;2314.207;2315.348
AGO;MYS;9900.254;9900.254;10111.01
AGO;NAM;1582.875;1582.875;1424.021
AGO;NCL;15503.07;15503.07;15397.97
AGO;NER;2778.376;2778.376;2857.859
AGO;NFK;15020.05;15020.05;14899.56
AGO;NGA;2017.813;2115.098;2209.762
AGO;NIC;11252.12;11252.12;11323.73
AGO;NIU;16914.76;16914.76;16793.27
AGO;NLD;6856.132;6856.132;6942.261
AGO;NOR;7655.045;7655.045;7837.547
AGO;NPL;8745.843;8745.843;8698.173
AGO;NRU;16933.59;16933.59;16832.42
AGO;NZL;13836.31;13836.31;14192.41
AGO;OMN;6115.173;6115.173;5999.047
AGO;PAK;7889.046;7889.046;7482.472
AGO;PAL;5027.387;5027.387;5128.349
AGO;PAN;10468.29;10468.29;10612.11
AGO;PCN;14553.54;14553.54;.
